wse,width,area_total,time_str,node_q,p_dist_out,wse_units,width_units,area_total_units,p_dist_out_units
149.15302,276.540868,57310.2,2023-07-28 11:23:22,1,2338727.0,m,m,m^2,m
147.35831,200.434645,41538.0,2023-08-06 20:30:23,1,2338727.0,m,m,m^2,m
149.23871,212.981929,44138.3,2023-08-27 17:15:28,1,2338727.0,m,m,m^2,m
149.23486,213.721644,44291.6,2023-09-08 04:53:34,1,2338727.0,m,m,m^2,m
149.18223,110.237587,22845.6,2023-09-17 14:00:34,1,2338727.0,m,m,m^2,m
149.13272,232.577699,48199.3,2023-09-29 01:38:37,1,2338727.0,m,m,m^2,m
149.3719,22.161121,4592.7,2023-10-08 10:45:35,1,2338727.0,m,m,m^2,m
149.34604,310.02734,64249.9,2023-10-19 22:23:41,1,2338727.0,m,m,m^2,m
149.3821,106.613931,22094.6,2023-10-29 07:30:41,1,2338727.0,m,m,m^2,m
149.49565,169.369371,35100.0,2023-11-09 19:08:46,1,2338727.0,m,m,m^2,m
149.61409,112.057674,23222.8,2023-11-19 04:15:46,1,2338727.0,m,m,m^2,m
149.34317,214.308231,44413.1,2023-11-30 15:53:52,1,2338727.0,m,m,m^2,m
149.31687,177.868363,36861.4,2023-12-10 01:00:51,2,2338727.0,m,m,m^2,m
-999999999999.0,9.880606,2047.7,2023-12-21 12:38:56,3,2338727.0,m,m,m^2,m
149.72432,177.376621,36759.5,2023-12-30 21:45:57,1,2338727.0,m,m,m^2,m
150.28087,213.816302,44311.2,2024-01-11 09:24:01,1,2338727.0,m,m,m^2,m
151.29475,113.305003,23481.3,2024-01-20 18:31:02,1,2338727.0,m,m,m^2,m
153.53974,603.960256,125164.4,2024-02-01 06:09:07,1,2338727.0,m,m,m^2,m
150.52937,134.695189,27914.2,2024-02-10 15:16:07,1,2338727.0,m,m,m^2,m
149.79305,267.728087,55483.8,2024-02-22 02:54:12,1,2338727.0,m,m,m^2,m
150.15004,158.349991,32816.4,2024-03-02 12:01:12,1,2338727.0,m,m,m^2,m
150.72807,196.318923,40685.0,2024-03-13 23:39:15,1,2338727.0,m,m,m^2,m
150.30667,185.600362,38463.7,2024-03-23 08:46:15,1,2338727.0,m,m,m^2,m
153.64412,734.571086,152232.2,2024-04-03 20:24:19,2,2338727.0,m,m,m^2,m
153.86213,381.273787,79015.0,2024-04-13 05:31:21,2,2338727.0,m,m,m^2,m
151.68643,569.465776,118015.8,2024-04-24 17:09:26,1,2338727.0,m,m,m^2,m
151.55747,135.607847,28103.3,2024-05-04 02:16:23,1,2338727.0,m,m,m^2,m
150.62144,171.272645,35494.5,2024-05-15 13:54:30,1,2338727.0,m,m,m^2,m
150.17717,143.357581,29709.4,2024-05-24 23:01:28,2,2338727.0,m,m,m^2,m
150.2013,218.191444,45217.9,2024-06-05 10:39:36,1,2338727.0,m,m,m^2,m
149.93092,199.835419,41413.8,2024-06-14 19:46:35,0,2338727.0,m,m,m^2,m
149.57441,151.288644,31353.0,2024-06-26 07:24:39,1,2338727.0,m,m,m^2,m
149.90376,155.71064,32269.4,2024-07-05 16:31:37,1,2338727.0,m,m,m^2,m
152.57279,235.298293,48763.1,2024-07-17 04:09:43,1,2338727.0,m,m,m^2,m
150.16985,159.757461,33108.1,2024-07-26 13:16:43,0,2338727.0,m,m,m^2,m
149.6441,265.504763,55023.1,2024-08-07 00:54:48,1,2338727.0,m,m,m^2,m
149.38304,161.541352,33477.8,2024-08-16 10:01:48,1,2338727.0,m,m,m^2,m
149.22775,219.645254,45519.2,2024-08-27 21:39:52,1,2338727.0,m,m,m^2,m
149.33377,132.25023,27407.5,2024-09-06 06:46:53,2,2338727.0,m,m,m^2,m
149.59232,141.62895,29351.1,2024-09-17 18:24:58,2,2338727.0,m,m,m^2,m
149.36841,169.845876,35198.8,2024-10-08 15:10:05,1,2338727.0,m,m,m^2,m
149.41817,76.09652,15770.2,2024-10-18 00:17:05,1,2338727.0,m,m,m^2,m
149.34799,141.35841,29295.1,2024-10-29 11:55:09,1,2338727.0,m,m,m^2,m
149.40187,186.75542,38703.1,2024-11-19 08:40:13,1,2338727.0,m,m,m^2,m
149.45865,147.803714,30630.8,2024-11-28 17:47:14,1,2338727.0,m,m,m^2,m
-999999999999.0,93.401625,19356.5,2024-12-10 05:25:18,3,2338727.0,m,m,m^2,m
149.42564,128.994787,26732.8,2024-12-19 14:32:18,1,2338727.0,m,m,m^2,m
150.00256,149.940938,31073.7,2025-01-09 11:17:22,2,2338727.0,m,m,m^2,m
149.97558,130.490245,27042.7,2025-01-20 22:55:27,1,2338727.0,m,m,m^2,m
149.83935,105.577707,21879.9,2025-01-30 08:02:27,1,2338727.0,m,m,m^2,m
148.22102,331.168134,68631.1,2025-02-10 19:40:30,3,2338727.0,m,m,m^2,m
149.3804,104.216145,21597.7,2025-02-20 04:47:32,1,2338727.0,m,m,m^2,m
149.3365,181.984012,36416.6,2023-07-28T11:23:22Z,1,2338927.0,m,m,m^2,m
147.37731,163.327668,32683.3,2023-08-06T20:30:23Z,1,2338927.0,m,m,m^2,m
149.36981,168.470894,33712.6,2023-08-27T17:15:28Z,1,2338927.0,m,m,m^2,m
149.1029,266.059745,53241.0,2023-09-08T04:53:34Z,1,2338927.0,m,m,m^2,m
149.08298,158.962871,31809.9,2023-09-17T14:00:34Z,1,2338927.0,m,m,m^2,m
149.13853,184.827041,36985.6,2023-09-29T01:38:37Z,1,2338927.0,m,m,m^2,m
149.71224,29.327491,5868.7,2023-10-08T10:45:35Z,1,2338927.0,m,m,m^2,m
149.43847,280.990756,56228.8,2023-10-19T22:23:41Z,1,2338927.0,m,m,m^2,m
149.37559,151.333245,30283.2,2023-10-29T07:30:41Z,1,2338927.0,m,m,m^2,m
149.57219,181.767049,36373.2,2023-11-09T19:08:46Z,1,2338927.0,m,m,m^2,m
149.64435,139.528981,27921.0,2023-11-19T04:15:46Z,1,2338927.0,m,m,m^2,m
149.26249,210.239957,42070.9,2023-11-30T15:53:52Z,1,2338927.0,m,m,m^2,m
149.37915,193.96418,38814.0,2023-12-10T01:00:51Z,2,2338927.0,m,m,m^2,m
154.08011,27.160377,5435.0,2023-12-21T12:38:56Z,3,2338927.0,m,m,m^2,m
149.80459,167.302075,33478.7,2023-12-30T21:45:57Z,1,2338927.0,m,m,m^2,m
150.35468,242.182185,48462.8,2024-01-11T09:24:01Z,1,2338927.0,m,m,m^2,m
151.23007,155.117072,31040.3,2024-01-20T18:31:02Z,1,2338927.0,m,m,m^2,m
153.58216,634.784987,127026.2,2024-02-01T06:09:07Z,1,2338927.0,m,m,m^2,m
150.58765,132.764077,26567.3,2024-02-10T15:16:07Z,1,2338927.0,m,m,m^2,m
149.81786,153.365413,30689.8,2024-02-22T02:54:12Z,1,2338927.0,m,m,m^2,m
150.16038,190.649981,38150.8,2024-03-02T12:01:12Z,1,2338927.0,m,m,m^2,m
150.75192,139.458537,27906.9,2024-03-13T23:39:15Z,1,2338927.0,m,m,m^2,m
150.30755,168.16652,33651.6,2024-03-23T08:46:15Z,1,2338927.0,m,m,m^2,m
153.62256,743.53797,148788.7,2024-04-03T20:24:19Z,2,2338927.0,m,m,m^2,m
153.92507,382.135985,76468.9,2024-04-13T05:31:21Z,2,2338927.0,m,m,m^2,m
